,유닛수,DropOut,층 개수,최적 개수,최소 rmse,최적 예측값
0,16,0,1,0,38125.86722031242,[[782476.8]]
1,16,0.2,1,0,54022.33869707855,[[805630.5]]
2,16,0.3,1,0,41788.50443579412,[[873507.75]]
3,16,0,2,0,36400.378599373005,[[804213.44]]
4,16,0.2,2,0,48437.19621755934,[[811999.56]]
5,16,0.3,2,0,38546.72483326348,[[814735.5]]
6,64,0,1,1000,26135.691902778697,[[845442.94]]
7,64,0.2,1,0,31042.99346541444,[[867202.8]]
8,64,0.3,1,0,37543.0348579477,[[848847.06]]
9,64,0,2,0,48558.50193391503,[[798277.9]]
10,64,0.2,2,0,36905.9715283347,[[849941.06]]
11,64,0.3,2,0,29894.45825252563,[[846255.56]]
12,128,0,1,0,21466.154896675067,[[838599.94]]
13,128,0.2,1,0,42636.251194068645,[[862730.6]]
14,128,0.3,1,0,39385.642618673824,[[833943.6]]
15,128,0,2,0,22417.00262642984,[[832074.25]]
16,128,0.2,2,0,54856.0267553106,[[843346.4]]
17,128,0.3,2,0,52586.87594488892,[[858174.1]]
